pair_id,build_phase,priority,decision,page_type,topic_cluster,language,page_path,counterpart_path,page_name,primary_keyword,counterpart_primary_keyword,search_intent,funnel_stage,product_codes,product_truth_status,primary_cta,secondary_cta,required_internal_links,sister_site_target,schema_types,css_cluster,analytics_page_type,image_direction,source_basis,implementation_notes
MT011,phase_1,High,retain_and_improve,travel_guide,transport,en,/how-to-get-to-mindo/,/es/como-llegar-a-mindo/,How to Get to Mindo,how to get to Mindo from Quito,cómo llegar a Mindo desde Quito,informational_commercial,middle,TRANS01-TRANS06,active_mixed_checkout,View private transfers,Plan a day trip,/quito-to-mindo-transport/ | /mindo-day-trips/ | /mindo-travel-guide/,https://mindobirdwatching.com/how-to-get-to-mindo/,HowTo | FAQPage | BreadcrumbList,guide,travel_guide,Road map or transfer vehicle placeholder,Existing paired pages and GSC queries,Verify current bus details before publication; avoid time-sensitive claims without sources.
MT011,phase_1,High,retain_and_improve,travel_guide,transport,es,/es/como-llegar-a-mindo/,/how-to-get-to-mindo/,Cómo Llegar a Mindo,cómo llegar a Mindo desde Quito,how to get to Mindo from Quito,informational_commercial,middle,TRANS01-TRANS06,active_mixed_checkout,View private transfers,Plan a day trip,/quito-to-mindo-transport/ | /mindo-day-trips/ | /mindo-travel-guide/,https://mindobirdwatching.com/how-to-get-to-mindo/,HowTo | FAQPage | BreadcrumbList,guide,travel_guide,Road map or transfer vehicle placeholder,Existing paired pages and GSC queries,Verify current bus details before publication; avoid time-sensitive claims without sources.
MT012,phase_2,Medium,retain_and_improve,travel_guide,travel_planning,en,/best-time-to-visit-mindo/,/es/mejor-epoca-para-visitar-mindo/,Best Time to Visit Mindo,best time to visit Mindo,mejor época para visitar Mindo,informational,top,,not_applicable,Plan by interest,See activities,/mindo-travel-guide/ | /things-to-do-in-mindo/ | /mindo-cloud-forest-guide/,https://mindobirdwatching.com/best-time-to-visit-mindo/,Article | FAQPage | BreadcrumbList,guide,travel_guide,Seasonal cloud forest without misleading weather guarantees,Existing paired pages and MBW GSC,Separate typical patterns from guarantees.
MT012,phase_2,Medium,retain_and_improve,travel_guide,travel_planning,es,/es/mejor-epoca-para-visitar-mindo/,/best-time-to-visit-mindo/,Mejor Época para Visitar Mindo,mejor época para visitar Mindo,best time to visit Mindo,informational,top,,not_applicable,Plan by interest,See activities,/mindo-travel-guide/ | /things-to-do-in-mindo/ | /mindo-cloud-forest-guide/,https://mindobirdwatching.com/best-time-to-visit-mindo/,Article | FAQPage | BreadcrumbList,guide,travel_guide,Seasonal cloud forest without misleading weather guarantees,Existing paired pages and MBW GSC,Separate typical patterns from guarantees.
MT013,phase_2,Medium,retain_and_improve,destination_guide,cloud_forest,en,/mindo-cloud-forest-guide/,/es/bosque-nublado-de-mindo-guia/,Mindo Cloud Forest Guide,Mindo cloud forest,bosque nublado de Mindo,informational,top,MBW009 | MBW015-MBW016,active,Explore nature activities,Plan a guided day,/activities/ | /mindo-travel-guide/ | /mindo-wildlife-nature-tours/,https://mindobirdwatching.com/mindo-cloud-forest-guide/,Article | FAQPage | BreadcrumbList,guide,destination_guide,Mindo cloud forest landscape,Existing paired pages and GSC demand,Use original wording and link specialized species content to MBW.
MT013,phase_2,Medium,retain_and_improve,destination_guide,cloud_forest,es,/es/bosque-nublado-de-mindo-guia/,/mindo-cloud-forest-guide/,Guía del Bosque Nublado de Mindo,bosque nublado de Mindo,Mindo cloud forest,informational,top,MBW009 | MBW015-MBW016,active,Explore nature activities,Plan a guided day,/activities/ | /mindo-travel-guide/ | /mindo-wildlife-nature-tours/,https://mindobirdwatching.com/mindo-cloud-forest-guide/,Article | FAQPage | BreadcrumbList,guide,destination_guide,Mindo cloud forest landscape,Existing paired pages and GSC demand,Use original wording and link specialized species content to MBW.
MT014,phase_0,Critical,create_en_repair_es,sister_site_funnel,birdwatching,en,/bird-watching-tours-mindo/,/es/tours-de-avistamiento-de-aves-mindo/,Bird Watching Tours in Mindo,bird watching tours Mindo,tours de avistamiento de aves Mindo,commercial,bottom,MBW004-MBW010,active,View birding tours on MBW,Ask for a mixed itinerary,/tours/ | /private-tours-mindo/ | /things-to-do-in-mindo/,https://mindobirdwatching.com/tours/,Service | ItemList | FAQPage | BreadcrumbList,sister_funnel,sister_site_funnel,Birding guide and cloud-forest birds,Current ES file has EN metadata and missing EN counterpart,MindoTours provides the overview; MBW owns product depth and booking authority.
MT014,phase_0,Critical,create_en_repair_es,sister_site_funnel,birdwatching,es,/es/tours-de-avistamiento-de-aves-mindo/,/bird-watching-tours-mindo/,Tours de Avistamiento de Aves en Mindo,tours de avistamiento de aves Mindo,bird watching tours Mindo,commercial,bottom,MBW004-MBW010,active,View birding tours on MBW,Ask for a mixed itinerary,/tours/ | /private-tours-mindo/ | /things-to-do-in-mindo/,https://mindobirdwatching.com/tours/,Service | ItemList | FAQPage | BreadcrumbList,sister_funnel,sister_site_funnel,Birding guide and cloud-forest birds,Current ES file has EN metadata and missing EN counterpart,MindoTours provides the overview; MBW owns product depth and booking authority.
MT015,phase_1,High,create,activity_page,food_culture,en,/activities/chocolate-tour-mindo/,/es/actividades/tour-de-chocolate-mindo/,Chocolate Tour in Mindo,chocolate tour Mindo,tour del chocolate Mindo,commercial,bottom,MBW011,active_checkout,Check availability,Build a mixed day,/activities/ | /things-to-do-in-mindo/ | /mindo-itinerary-one-day/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity,activity_page,Cacao and chocolate-making experience,Product catalog and GSC queries,Use catalog price only when product pricing rules allow it.
MT015,phase_1,High,create,activity_page,food_culture,es,/es/actividades/tour-de-chocolate-mindo/,/activities/chocolate-tour-mindo/,Tour de Chocolate en Mindo,tour del chocolate Mindo,chocolate tour Mindo,commercial,bottom,MBW011,active_checkout,Check availability,Build a mixed day,/activities/ | /things-to-do-in-mindo/ | /mindo-itinerary-one-day/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity,activity_page,Cacao and chocolate-making experience,Product catalog and GSC queries,Use catalog price only when product pricing rules allow it.
MT016,phase_2,Medium,create,activity_page,food_culture,en,/activities/coffee-tour-mindo/,/es/actividades/tour-de-cafe-mindo/,Coffee Tour in Mindo,coffee tour Mindo,tour de café Mindo,commercial,bottom,MBW012,active_checkout,Check availability,Compare chocolate tours,/activities/ | /activities/chocolate-tour-mindo/ | /mindo-itinerary-one-day/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity,activity_page,Coffee plants and local preparation,Product catalog,Do not invent farm names or production methods.
MT016,phase_2,Medium,create,activity_page,food_culture,es,/es/actividades/tour-de-cafe-mindo/,/activities/coffee-tour-mindo/,Tour de Café en Mindo,tour de café Mindo,coffee tour Mindo,commercial,bottom,MBW012,active_checkout,Check availability,Compare chocolate tours,/activities/ | /activities/chocolate-tour-mindo/ | /mindo-itinerary-one-day/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity,activity_page,Coffee plants and local preparation,Product catalog,Do not invent farm names or production methods.
MT017,phase_1,High,create,activity_page,waterfalls,en,/activities/mindo-waterfall-hike/,/es/actividades/cascadas-de-mindo/,Mindo Waterfall Hike,Mindo waterfall tour,ruta de las cascadas Mindo,commercial,bottom,MBW013,active_checkout,Check availability,See day-trip plans,/activities/ | /activities/mindo-tarabita-cable-car/ | /mindo-day-trips/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity,activity_page,Waterfall trail and forest walkway,Product catalog and MBW GSC,Differentiate guided product from independent waterfall entrance information.
MT017,phase_1,High,create,activity_page,waterfalls,es,/es/actividades/cascadas-de-mindo/,/activities/mindo-waterfall-hike/,Tour de Cascadas de Mindo,ruta de las cascadas Mindo,Mindo waterfall tour,commercial,bottom,MBW013,active_checkout,Check availability,See day-trip plans,/activities/ | /activities/mindo-tarabita-cable-car/ | /mindo-day-trips/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity,activity_page,Waterfall trail and forest walkway,Product catalog and MBW GSC,Differentiate guided product from independent waterfall entrance information.
MT018,phase_1,High,create,activity_page,adventure,en,/activities/ziplining-mindo/,/es/actividades/canopy-en-mindo/,Ziplining and Canopy in Mindo,Mindo ziplining,canopy Mindo,commercial,bottom,MBW014,active_checkout,Check availability,Compare adventures,/mindo-adventure-tours/ | /activities/ | /things-to-do-in-mindo/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Zipline over cloud-forest canopy,Product catalog and MindoTours GSC,Avoid unsupported claims about number or length of lines.
MT018,phase_1,High,create,activity_page,adventure,es,/es/actividades/canopy-en-mindo/,/activities/ziplining-mindo/,Canopy y Tirolina en Mindo,canopy Mindo,Mindo ziplining,commercial,bottom,MBW014,active_checkout,Check availability,Compare adventures,/mindo-adventure-tours/ | /activities/ | /things-to-do-in-mindo/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Zipline over cloud-forest canopy,Product catalog and MindoTours GSC,Avoid unsupported claims about number or length of lines.
MT019,phase_1,High,create,activity_page,adventure,en,/activities/tubing-mindo/,/es/actividades/tubing-en-mindo/,Tubing in Mindo,tubing Mindo,tubing en Mindo,commercial,bottom,ACT011,active_pending_stripe_ids,Request availability,Compare adventures,/mindo-adventure-tours/ | /activities/canyoning-mindo/ | /activities/,https://mindobirdwatching.com/activities/tubing/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Mindo River tubing with safety gear,Product catalog and MBW GSC,Publishable product content; checkout implementation waits for verified Stripe IDs.
MT019,phase_1,High,create,activity_page,adventure,es,/es/actividades/tubing-en-mindo/,/activities/tubing-mindo/,Tubing en Mindo,tubing en Mindo,tubing Mindo,commercial,bottom,ACT011,active_pending_stripe_ids,Request availability,Compare adventures,/mindo-adventure-tours/ | /activities/canyoning-mindo/ | /activities/,https://mindobirdwatching.com/activities/tubing/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Mindo River tubing with safety gear,Product catalog and MBW GSC,Publishable product content; checkout implementation waits for verified Stripe IDs.
MT020,phase_1,High,create,activity_page,adventure,en,/activities/canyoning-mindo/,/es/actividades/canyoning-en-mindo/,Canyoning in Mindo,canyoning Mindo,canyoning en Mindo,commercial,bottom,ACT013,active_checkout,Check availability,Compare adventures,/mindo-adventure-tours/ | /activities/tubing-mindo/ | /activities/,https://mindobirdwatching.com/activities/canyoning/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Guided canyoning and waterfall descent,Product catalog and MBW GSC,State difficulty and inclusions only from verified product data.
MT020,phase_1,High,create,activity_page,adventure,es,/es/actividades/canyoning-en-mindo/,/activities/canyoning-mindo/,Canyoning en Mindo,canyoning en Mindo,canyoning Mindo,commercial,bottom,ACT013,active_checkout,Check availability,Compare adventures,/mindo-adventure-tours/ | /activities/tubing-mindo/ | /activities/,https://mindobirdwatching.com/activities/canyoning/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Guided canyoning and waterfall descent,Product catalog and MBW GSC,State difficulty and inclusions only from verified product data.
MT021,phase_2,Medium,create,activity_page,adventure,en,/activities/quad-tour-mindo/,/es/actividades/tour-en-quad-mindo/,Quad Tour in Mindo,quad tour Mindo,tour en cuadrones Mindo,commercial,bottom,ACT004,active_pending_stripe_ids,Request availability,Compare adventures,/mindo-adventure-tours/ | /activities/ | /private-tours-mindo/,https://mindobirdwatching.com/activities/quad-tour/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Quad route with mountain scenery,Product catalog,Use request flow until Stripe IDs are verified.
MT021,phase_2,Medium,create,activity_page,adventure,es,/es/actividades/tour-en-quad-mindo/,/activities/quad-tour-mindo/,Tour en Quad en Mindo,tour en cuadrones Mindo,quad tour Mindo,commercial,bottom,ACT004,active_pending_stripe_ids,Request availability,Compare adventures,/mindo-adventure-tours/ | /activities/ | /private-tours-mindo/,https://mindobirdwatching.com/activities/quad-tour/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_adventure,activity_page,Quad route with mountain scenery,Product catalog,Use request flow until Stripe IDs are verified.
MT022,phase_2,Medium,create,activity_page,gardens,en,/activities/orchid-garden-mindo/,/es/actividades/jardin-de-orquideas-mindo/,Orchid Garden Tour in Mindo,Mindo orchid garden,jardín de orquídeas Mindo,commercial,middle,ACT009,active_pending_stripe_ids,Request availability,Explore nature activities,/mindo-wildlife-nature-tours/ | /activities/ | /mindo-cloud-forest-guide/,https://mindobirdwatching.com/activities/orchid-garden-tour/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_nature,activity_page,Macro orchid detail with garden context,Product catalog,Use request flow until Stripe IDs are verified.
MT022,phase_2,Medium,create,activity_page,gardens,es,/es/actividades/jardin-de-orquideas-mindo/,/activities/orchid-garden-mindo/,Tour del Jardín de Orquídeas en Mindo,jardín de orquídeas Mindo,Mindo orchid garden,commercial,middle,ACT009,active_pending_stripe_ids,Request availability,Explore nature activities,/mindo-wildlife-nature-tours/ | /activities/ | /mindo-cloud-forest-guide/,https://mindobirdwatching.com/activities/orchid-garden-tour/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_nature,activity_page,Macro orchid detail with garden context,Product catalog,Use request flow until Stripe IDs are verified.
MT023,phase_2,Medium,create,activity_page,gardens,en,/activities/butterfly-garden-mindo/,/es/actividades/mariposario-mindo/,Butterfly Garden in Mindo,Mindo butterfly garden,mariposario Mindo,commercial,middle,MBW015,active_checkout,Check availability,Explore family activities,/family-things-to-do-mindo/ | /activities/ | /mindo-wildlife-nature-tours/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_nature,activity_page,Butterflies in a garden habitat,Product catalog,Avoid guarantees about species present on a visit.
MT023,phase_2,Medium,create,activity_page,gardens,es,/es/actividades/mariposario-mindo/,/activities/butterfly-garden-mindo/,Mariposario de Mindo,mariposario Mindo,Mindo butterfly garden,commercial,middle,MBW015,active_checkout,Check availability,Explore family activities,/family-things-to-do-mindo/ | /activities/ | /mindo-wildlife-nature-tours/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_nature,activity_page,Butterflies in a garden habitat,Product catalog,Avoid guarantees about species present on a visit.
MT024,phase_1,High,create,activity_page,wildlife,en,/activities/night-walk-mindo/,/es/actividades/caminata-nocturna-mindo/,Night Walk in Mindo,Mindo night walk,caminata nocturna Mindo,commercial,bottom,MBW016,active_checkout,Check availability,See wildlife tours,/mindo-wildlife-nature-tours/ | /activities/frog-concert-mindo/ | /activities/,https://mindobirdwatching.com/mindo-night-walk/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_wildlife,activity_page,Guide with flashlight and nocturnal forest,Product catalog and MBW GSC,MBW owns detailed specialist content; MindoTours provides broad trip-planning context.
MT024,phase_1,High,create,activity_page,wildlife,es,/es/actividades/caminata-nocturna-mindo/,/activities/night-walk-mindo/,Caminata Nocturna en Mindo,caminata nocturna Mindo,Mindo night walk,commercial,bottom,MBW016,active_checkout,Check availability,See wildlife tours,/mindo-wildlife-nature-tours/ | /activities/frog-concert-mindo/ | /activities/,https://mindobirdwatching.com/mindo-night-walk/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_wildlife,activity_page,Guide with flashlight and nocturnal forest,Product catalog and MBW GSC,MBW owns detailed specialist content; MindoTours provides broad trip-planning context.
MT025,phase_2,Medium,create,activity_page,nature,en,/activities/horseback-riding-mindo/,/es/actividades/paseo-a-caballo-mindo/,Horseback Riding in Mindo,horseback riding Mindo,paseo a caballo Mindo,commercial,bottom,ACT016,active_pending_stripe_ids,Request availability,Compare nature activities,/activities/ | /private-tours-mindo/ | /things-to-do-in-mindo/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_nature,activity_page,Horseback route in green Mindo landscape,Product catalog,Confirm route and operating details before final publication.
MT025,phase_2,Medium,create,activity_page,nature,es,/es/actividades/paseo-a-caballo-mindo/,/activities/horseback-riding-mindo/,Paseo a Caballo en Mindo,paseo a caballo Mindo,horseback riding Mindo,commercial,bottom,ACT016,active_pending_stripe_ids,Request availability,Compare nature activities,/activities/ | /private-tours-mindo/ | /things-to-do-in-mindo/,https://mindobirdwatching.com/activities/,Product | TouristAttraction | FAQPage | BreadcrumbList,activity_nature,activity_page,Horseback route in green Mindo landscape,Product catalog,Confirm route and operating details before final publication.
